tier,track,species,task_id,task_label,model_id,model_label,model_family,auroc,auprc,ece,brier,rc_mean_abs_delta,mono_positive_prob_drop,dinuc_positive_prob_drop,gc_only_auroc,gc_only_explainability_ratio,shortcut_score,worst_gc_bin_auroc,gc_bin_auroc_gap,matched_negative_gc_only_auroc_drop
external,short_context,human,gue_human_tf_1,External TF binding (human_tf_1),small_cnn,CNN,cnn,0.794125,0.7827997954722505,0.136152174398303,0.2050158821887774,0.109517365694046,0.0281333327293396,0.009884774684906,,,0.7333333333333334,,,
external,short_context,human,gue_human_tf_1,External TF binding (human_tf_1),small_cnn_rc_aug,RC-aug CNN,cnn,0.886275,0.8754005127537509,0.132435647547245,0.1554725569083832,0.0403678454458713,0.050756812095642,0.0232847332954406,,,0.3666666666666666,,,
external,variant_effect,human,mpra_bcl11a_enhancer,mpra_bcl11a_enhancer,caduceus_ph,Caduceus-Ph,foundation_model,0.4307771867612293,0.0736573091419369,0.0514741023939073,0.0749464799780915,0.0016496022140562,0.0038403812504581,0.0012701729102238,,,0.2818181818181818,,,
external,variant_effect,human,mpra_bcl11a_enhancer,mpra_bcl11a_enhancer,dnabert2,DNABERT-2,foundation_model,0.5404107565011821,0.1245153178050686,0.0515596537166855,0.0749006005347617,0.0049328397066665,-0.0305440242807639,-0.0048275515879697,,,0.7181818181818181,,,
external,variant_effect,human,mpra_bcl11a_enhancer,mpra_bcl11a_enhancer,kmer_logistic_regression,6-mer logistic regression,classical,0.463283096926714,0.0799846805575629,0.0612031184889678,0.092644743297582,0.1351001539196209,0.1205965394877166,0.120604769883695,,,0.5272727272727272,,,
external,variant_effect,human,mpra_bcl11a_enhancer,mpra_bcl11a_enhancer,small_cnn,CNN,cnn,0.4341755319148936,0.0974173776642358,0.0394586296934707,0.0738373449603956,0.0054209441877901,-0.0084574073553085,-0.0071282163262367,,,0.5,,,
external,variant_effect,human,mpra_bcl11a_enhancer,mpra_bcl11a_enhancer,small_cnn_rc_aug,RC-aug CNN,cnn,0.4408983451536643,0.072589901098363,0.0359660116773025,0.0735817081681177,0.000229614553973,-0.01434226334095,-0.0131359845399856,,,0.4636363636363637,,,
external,variant_effect,human,mpra_f9_promoter,mpra_f9_promoter,caduceus_ph,Caduceus-Ph,foundation_model,0.5785482123510293,0.5351666898449856,0.0029298106436438,0.2494973385736689,0.003373148587466,-0.001020271214975,-0.0001255635005825,,,0.2636363636363636,,,
external,variant_effect,human,mpra_f9_promoter,mpra_f9_promoter,dnabert2,DNABERT-2,foundation_model,0.5235102925243771,0.5344867205934569,0.0176749102757328,0.2488790319985205,0.1017010868873009,-0.0981843101496952,-0.0770897537527876,,,0.8636363636363636,,,
external,variant_effect,human,mpra_f9_promoter,mpra_f9_promoter,kmer_logistic_regression,6-mer logistic regression,classical,0.6719393282773564,0.7263198015475035,0.1529084892542226,0.2337159585820947,0.5590469850070307,-0.0542676883000692,-0.1365172046533047,,,0.9090909090909092,,,
external,variant_effect,human,mpra_f9_promoter,mpra_f9_promoter,small_cnn,CNN,cnn,0.5243770314192849,0.5204570731269513,0.0207816274727092,0.2499463135682723,0.007447559852153,-0.0063632130622863,-0.0065760910511016,,,0.4454545454545454,,,
external,variant_effect,human,mpra_f9_promoter,mpra_f9_promoter,small_cnn_rc_aug,RC-aug CNN,cnn,0.4678223185265439,0.4589901955570187,0.0029573528205646,0.2495362392857729,0.0043237931095063,-0.0005469322204589,-0.000401496887207,,,0.3363636363636363,,,
external,variant_effect,human,mpra_hbb_promoter,mpra_hbb_promoter,caduceus_ph,Caduceus-Ph,foundation_model,0.4534391534391535,0.3604769316990043,0.0530929331991908,0.2414579992221207,0.0002775135288659,0.000159968318963,0.0004994174289211,,,0.209090909090909,,,
external,variant_effect,human,mpra_hbb_promoter,mpra_hbb_promoter,dnabert2,DNABERT-2,foundation_model,0.4846560846560847,0.3784624642643481,0.0589238543140255,0.2434849398054548,0.0430065139200826,-0.0389715628060071,-0.0354946961343254,,,0.8454545454545455,,,
external,variant_effect,human,mpra_hbb_promoter,mpra_hbb_promoter,kmer_logistic_regression,6-mer logistic regression,classical,0.7142857142857144,0.623887552069174,0.0508113408130736,0.2096334706072712,0.1688831747291605,-0.1476007765890292,0.0777185964399192,,,0.7909090909090909,,,
external,variant_effect,human,mpra_hbb_promoter,mpra_hbb_promoter,small_cnn,CNN,cnn,0.5804232804232804,0.5402869244325326,0.0565485910753185,0.241725154786994,0.011219467036426,-0.0112062990665435,-0.0112241804599761,,,0.5363636363636364,,,
external,variant_effect,human,mpra_hbb_promoter,mpra_hbb_promoter,small_cnn_rc_aug,RC-aug CNN,cnn,0.6216931216931216,0.5350952638868123,0.0423831002096111,0.2402852609946381,0.0040509956888854,-0.0164500176906585,-0.0157910287380218,,,0.5545454545454546,,,
external,variant_effect,human,mpra_ldlr_promoter,mpra_ldlr_promoter,caduceus_ph,Caduceus-Ph,foundation_model,0.4978260869565217,0.6327314559324473,0.0330743264441112,0.2400155770056156,0.0050138112881523,-0.0015080135252635,0.0010152076684619,,,0.5363636363636364,,,
external,variant_effect,human,mpra_ldlr_promoter,mpra_ldlr_promoter,dnabert2,DNABERT-2,foundation_model,0.6572463768115941,0.7538075640851136,0.0441017975828859,0.2371586687882882,0.0711076690889764,0.046377951103815,0.0559398817197175,,,0.5363636363636364,,,
external,variant_effect,human,mpra_ldlr_promoter,mpra_ldlr_promoter,kmer_logistic_regression,6-mer logistic regression,classical,0.7644927536231884,0.8545686882374884,0.1277403345960491,0.1987421394415178,0.3928448175263329,-0.1780863261192544,-0.1696327754603647,,,1.0,,,
external,variant_effect,human,mpra_ldlr_promoter,mpra_ldlr_promoter,small_cnn,CNN,cnn,0.5996376811594202,0.6730707630425187,0.0090043105577167,0.2388767590521719,0.0336218029260635,0.0343757271766662,0.0340492725372314,,,0.5363636363636364,,,
external,variant_effect,human,mpra_ldlr_promoter,mpra_ldlr_promoter,small_cnn_rc_aug,RC-aug CNN,cnn,0.4829710144927536,0.5877167205108492,0.0517164029573139,0.241584349716517,0.013564552180469,0.0088658332824707,0.0093491673469543,,,0.4454545454545454,,,
external,variant_effect,human,mpra_myc_enhancer,mpra_myc_enhancer,caduceus_ph,Caduceus-Ph,foundation_model,0.5246010638297872,0.1924421304644541,0.0021199710266446,0.1310438335910663,0.0063509126482583,0.0007621561301187,-0.0047666414917,,,0.3,,,
external,variant_effect,human,mpra_myc_enhancer,mpra_myc_enhancer,dnabert2,DNABERT-2,foundation_model,0.5802859042553191,0.2214605905976867,0.002298196542174,0.1309574208505014,0.0097912700226361,-0.0241668752785129,-0.0003063175791127,,,0.4454545454545454,,,
external,variant_effect,human,mpra_myc_enhancer,mpra_myc_enhancer,kmer_logistic_regression,6-mer logistic regression,classical,0.617436835106383,0.273063462752857,0.0699571014229186,0.133241625302057,0.1374683977028263,0.1836305148363903,0.1619044962427477,,,0.6,,,
external,variant_effect,human,mpra_myc_enhancer,mpra_myc_enhancer,small_cnn,CNN,cnn,0.4580701462765957,0.1592118530458348,0.0315479521605834,0.1320594202587024,0.0598176829516887,-0.0600815564393997,-0.0598690062761306,,,0.7727272727272727,,,
external,variant_effect,human,mpra_myc_enhancer,mpra_myc_enhancer,small_cnn_rc_aug,RC-aug CNN,cnn,0.5425531914893617,0.1681957000968892,0.0122748429920807,0.1312145303846207,0.0110265975818037,-0.0391488373279571,-0.0381041914224624,,,0.590909090909091,,,
